match_id,round_num,phase,team_1_id,team_1,team_2_id,team_2,match_date_utc,start_time_utc,is_started,is_finished,is_cancelled,is_awarded,status,venue,host_nation,latitude,longitude
4667762,3,group phase,10106,Bosnia and Herzegovina,5902,Qatar,2026-06-24,19:00:00.000000000,true,true,false,false,full-time,Seattle Stadium,United States,47.595163157,-122.33163178
4667761,3,group phase,6717,Switzerland,5810,Canada,2026-06-24,19:00:00.000000000,true,true,false,false,full-time,BC Place Vancouver,Canada,49.276722797,-123.112031221
4667769,3,group phase,6262,Morocco,5934,Haiti,2026-06-24,22:00:00.000000000,true,true,false,false,full-time,Atlanta Stadium,United States,33.755406175,-84.401075263
4667768,3,group phase,8498,Scotland,8256,Brazil,2026-06-24,22:00:00.000000000,true,true,false,false,full-time,Miami Stadium,United States,25.957919269,-80.23884058
4667755,3,group phase,8496,Czechia,6710,Mexico,2026-06-25,01:00:00.000000000,true,true,false,false,full-time,Mexico City Stadium,Mexico,19.302825295,-99.150388241
4667756,3,group phase,6316,South Africa,7804,South Korea,2026-06-25,01:00:00.000000000,true,true,false,false,full-time,Monterrey Stadium,Mexico,25.669182471,-100.244469647
4667782,3,group phase,287981,Curacao,6709,Ivory Coast,2026-06-25,20:00:00.000000000,true,true,false,false,full-time,Philadelphia Stadium,United States,39.9008024,-75.1674968
4667781,3,group phase,6707,Ecuador,8570,Germany,2026-06-25,20:00:00.000000000,true,true,false,false,full-time,New York New Jersey Stadium,United States,40.813553451,-74.074367881
4667788,3,group phase,6715,Japan,8520,Sweden,2026-06-25,23:00:00.000000000,true,true,false,false,full-time,Dallas Stadium,United States,32.747823108,-97.092865705
4667787,3,group phase,6719,Tunisia,6708,Netherlands,2026-06-25,23:00:00.000000000,true,true,false,false,full-time,Kansas City Stadium,United States,39.048931391,-94.483993649
4667776,3,group phase,6724,Paraguay,6716,Australia,2026-06-26,02:00:00.000000000,true,true,false,false,full-time,San Francisco Bay Area Stadium,United States,37.403227787,-121.969776469
4667775,3,group phase,6595,Turkiye,6713,USA,2026-06-26,02:00:00.000000000,true,true,false,false,full-time,Los Angeles Stadium,United States,33.953425,-118.338948
4667808,3,group phase,8492,Norway,6723,France,2026-06-26,19:00:00.000000000,true,true,false,false,full-time,Boston Stadium,United States,42.091296172,-71.264045835
4667809,3,group phase,6395,Senegal,5819,Iraq,2026-06-26,19:00:00.000000000,true,true,false,false,full-time,Toronto Stadium,Canada,43.633205971,-79.41855669
4667803,3,group phase,5888,Cape Verde,7795,Saudi Arabia,2026-06-27,00:00:00.000000000,true,true,false,false,full-time,Houston Stadium,United States,29.684827801,-95.410938263
4667802,3,group phase,5796,Uruguay,6720,Spain,2026-06-27,00:00:00.000000000,true,true,false,false,full-time,Guadalajara Stadium,Mexico,20.681774815,-103.462629318
4667795,3,group phase,10255,Egypt,6711,Iran,2026-06-27,03:00:00.000000000,true,true,false,false,full-time,Seattle Stadium,United States,47.595163157,-122.33163178
4667794,3,group phase,5820,New Zealand,8263,Belgium,2026-06-27,03:00:00.000000000,true,true,false,false,full-time,BC Place Vancouver,Canada,49.276722797,-123.112031221
4667830,3,group phase,10155,Croatia,6714,Ghana,2026-06-27,21:00:00.000000000,true,true,false,false,full-time,Philadelphia Stadium,United States,39.9008024,-75.1674968
4667829,3,group phase,5922,Panama,8491,England,2026-06-27,21:00:00.000000000,true,true,false,false,full-time,New York New Jersey Stadium,United States,40.813553451,-74.074367881
4667823,3,group phase,8258,Colombia,8361,Portugal,2026-06-27,23:30:00.000000000,true,true,false,false,full-time,Miami Stadium,United States,25.957919269,-80.23884058
4667824,3,group phase,6321,DR Congo,8700,Uzbekistan,2026-06-27,23:30:00.000000000,true,true,false,false,full-time,Atlanta Stadium,United States,33.755406175,-84.401075263
4667817,3,group phase,6317,Algeria,8255,Austria,2026-06-28,02:00:00.000000000,true,true,false,false,full-time,Kansas City Stadium,United States,39.048931391,-94.483993649
4667816,3,group phase,5816,Jordan,6706,Argentina,2026-06-28,02:00:00.000000000,true,true,false,false,full-time,Dallas Stadium,United States,32.747823108,-97.092865705
4653705,4,round of 32,6316,South Africa,5810,Canada,2026-06-28,19:00:00.000000000,true,true,false,false,full-time,Los Angeles Stadium,United States,33.953425,-118.338948
4653711,4,round of 32,8256,Brazil,6715,Japan,2026-06-29,17:00:00.000000000,true,true,false,false,full-time,Houston Stadium,United States,29.684827801,-95.410938263
4653703,4,round of 32,8570,Germany,6724,Paraguay,2026-06-29,20:30:00.000000000,true,true,false,false,after penalties,Boston Stadium,United States,42.091296172,-71.264045835
4653706,4,round of 32,6708,Netherlands,6262,Morocco,2026-06-30,01:00:00.000000000,true,true,false,false,after penalties,Monterrey Stadium,Mexico,25.669182471,-100.244469647
4653712,4,round of 32,6709,Ivory Coast,8492,Norway,2026-06-30,17:00:00.000000000,true,true,false,false,full-time,Dallas Stadium,United States,32.747823108,-97.092865705
4653704,4,round of 32,6723,France,8520,Sweden,2026-06-30,21:00:00.000000000,true,true,false,false,full-time,New York New Jersey Stadium,United States,40.813553451,-74.074367881
4653713,4,round of 32,6710,Mexico,6707,Ecuador,2026-07-01,02:00:00.000000000,true,true,false,false,full-time,Mexico City Stadium,Mexico,19.302825295,-99.150388241
4653714,4,round of 32,8491,England,6321,DR Congo,2026-07-01,16:00:00.000000000,true,true,false,false,full-time,Atlanta Stadium,United States,33.755406175,-84.401075263
4653710,4,round of 32,8263,Belgium,6395,Senegal,2026-07-01,20:00:00.000000000,true,true,false,false,after extra time,Seattle Stadium,United States,47.595163157,-122.33163178
4653709,4,round of 32,6713,USA,10106,Bosnia and Herzegovina,2026-07-02,00:00:00.000000000,true,true,false,false,full-time,San Francisco Bay Area Stadium,United States,37.403227787,-121.969776469
4653708,4,round of 32,6720,Spain,8255,Austria,2026-07-02,19:00:00.000000000,true,true,false,false,full-time,Los Angeles Stadium,United States,33.953425,-118.338948
4653707,4,round of 32,8361,Portugal,10155,Croatia,2026-07-02,23:00:00.000000000,true,true,false,false,full-time,Toronto Stadium,Canada,43.633205971,-79.41855669
4653717,4,round of 32,6717,Switzerland,6317,Algeria,2026-07-03,03:00:00.000000000,true,true,false,false,full-time,BC Place Vancouver,Canada,49.276722797,-123.112031221
4653716,4,round of 32,6716,Australia,10255,Egypt,2026-07-03,18:00:00.000000000,true,true,false,false,after penalties,Dallas Stadium,United States,32.747823108,-97.092865705
4653715,4,round of 32,6706,Argentina,5888,Cape Verde,2026-07-03,22:00:00.000000000,true,true,false,false,after extra time,Miami Stadium,United States,25.957919269,-80.23884058
4653718,4,round of 32,8258,Colombia,6714,Ghana,2026-07-04,01:30:00.000000000,true,true,false,false,full-time,Kansas City Stadium,United States,39.048931391,-94.483993649
4653843,5,round of 16,5810,Canada,6262,Morocco,2026-07-04,17:00:00.000000000,true,true,false,false,full-time,Houston Stadium,United States,29.684827801,-95.410938263
4653842,5,round of 16,6724,Paraguay,6723,France,2026-07-04,21:00:00.000000000,true,true,false,false,full-time,Philadelphia Stadium,United States,39.9008024,-75.1674968
4653846,5,round of 16,8256,Brazil,8492,Norway,2026-07-05,20:00:00.000000000,true,true,false,false,full-time,New York New Jersey Stadium,United States,40.813553451,-74.074367881
4653847,5,round of 16,6710,Mexico,8491,England,2026-07-06,01:00:00.000000000,true,true,false,false,full-time,Mexico City Stadium,Mexico,19.302825295,-99.150388241
4653844,5,round of 16,8361,Portugal,6720,Spain,2026-07-06,19:00:00.000000000,true,true,false,false,full-time,Dallas Stadium,United States,32.747823108,-97.092865705
4653845,5,round of 16,6713,USA,8263,Belgium,2026-07-07,00:00:00.000000000,true,true,false,false,full-time,Seattle Stadium,United States,47.595163157,-122.33163178
4653848,5,round of 16,6706,Argentina,10255,Egypt,2026-07-07,16:00:00.000000000,true,true,false,false,full-time,Atlanta Stadium,United States,33.755406175,-84.401075263
4653849,5,round of 16,6717,Switzerland,8258,Colombia,2026-07-07,20:00:00.000000000,true,true,false,false,after penalties,BC Place Vancouver,Canada,49.276722797,-123.112031221
4653851,6,quarter-finals,6723,France,6262,Morocco,2026-07-09,20:00:00.000000000,true,true,false,false,full-time,Boston Stadium,United States,42.091296172,-71.264045835
4653853,6,quarter-finals,6720,Spain,8263,Belgium,2026-07-10,19:00:00.000000000,true,true,false,false,full-time,Los Angeles Stadium,United States,33.953425,-118.338948
4653852,6,quarter-finals,8492,Norway,8491,England,2026-07-11,21:00:00.000000000,true,true,false,false,after extra time,Miami Stadium,United States,25.957919269,-80.23884058
4653854,6,quarter-finals,6706,Argentina,6717,Switzerland,2026-07-12,01:00:00.000000000,true,true,false,false,after extra time,Kansas City Stadium,United States,39.048931391,-94.483993649
4653855,7,semi-finals,6723,France,6720,Spain,2026-07-14,19:00:00.000000000,true,true,false,false,full-time,Dallas Stadium,United States,32.747823108,-97.092865705
4653856,7,semi-finals,8491,England,6706,Argentina,2026-07-15,19:00:00.000000000,true,true,false,false,full-time,Atlanta Stadium,United States,33.755406175,-84.401075263
4653857,8,bronze final,6723,France,8491,England,2026-07-18,21:00:00.000000000,true,true,false,false,full-time,Miami Stadium,United States,25.957919269,-80.23884058
4653858,8,final,6720,Spain,6706,Argentina,2026-07-19,19:00:00.000000000,true,true,false,false,after extra time,New York New Jersey Stadium,United States,40.813553451,-74.074367881
