player_id,player_name,country,country_id,birth_date_utc,primary_position,club_id,club_name,height_cm,preferred_foot,transfer_value_eur
183500,Leandro Bacuna,Curacao,287981,1991-08-21,central midfielder,1281818.0,Igdir FK,187.0,right,149924.0
289441,Jürgen Locadia,Curacao,287981,1993-11-07,striker,721896.0,Miami FC,185.0,right,99318.0
352358,Brandley Kuwas,Curacao,287981,1992-09-19,striker,6601.0,FC Volendam,178.0,left,428769.0
380942,Gervane Kastaneer,Curacao,287981,1996-06-09,striker,165229.0,Terengganu,176.0,right,81869.0
389845,Joshua Brenet,Curacao,287981,1994-03-20,right back,10182.0,Kayserispor,181.0,right,626642.0
467479,Riechedly Bazoer,Curacao,287981,1996-10-12,center back,,Unknown,184.0,right,1152541.0
614574,Juninho Bacuna,Curacao,287981,1997-08-07,defensive midfielder,4081.0,Gaziantep FK,178.0,right,1162292.0
643232,Kenji Gorré,Curacao,287981,1994-09-29,left winger,10185.0,Maccabi Haifa,174.0,right,390897.0
671327,Sherel Floranus,Curacao,287981,1998-08-23,left back,6413.0,PEC Zwolle,181.0,right,665131.0
708738,Juriën Gaari,Curacao,287981,1993-12-23,center back,150414.0,Abha,183.0,right,205356.0
751066,Tahith Chong,Curacao,287981,1999-12-04,right midfielder,8657.0,Sheffield United,185.0,left,2279433.0
794244,Armando Obispo,Curacao,287981,1999-03-05,center back,8640.0,PSV Eindhoven,184.0,left,1895338.0
873856,Trevor Doornbusch,Curacao,287981,1999-07-06,keeper,9839.0,VVV-Venlo,188.0,right,154603.0
875845,Kevin Felida,Curacao,287981,1999-11-11,central midfielder,9835.0,FC Den Bosch,174.0,right,195116.0
924844,Roshon van Eijma,Curacao,287981,1998-06-09,center back,10219.0,RKC Waalwijk,186.0,right,135173.0
938524,Godfried Roemeratoe,Curacao,287981,1999-08-19,central midfielder,10219.0,RKC Waalwijk,180.0,right,160525.0
1020026,Sebastián Cáceres,Uruguay,5796,1999-08-18,center back,6576.0,CF America,180.0,right,2493120.0
1031656,Maxi Araújo,Uruguay,5796,2000-02-15,left back,9768.0,Sporting CP,180.0,left,22609122.0
1032811,Federico Viñas,Uruguay,5796,1998-06-30,striker,1841.0,Leon,180.0,left,2430811.0
1035614,Manuel Ugarte,Uruguay,5796,2001-04-11,defensive midfielder,10260.0,Manchester United,182.0,right,37761001.0
1053963,Juan Sanabria,Uruguay,5796,2000-03-29,left back,6606.0,Real Salt Lake,172.0,left,2471238.0
1070776,Rodrigo Zalazar,Uruguay,5796,1999-08-12,right winger,9768.0,Sporting CP,178.0,right,20435681.0
1073402,Facundo Pellistri,Uruguay,5796,2001-12-20,right winger,10200.0,Panathinaikos,174.0,right,5768603.0
1137909,Emiliano Martínez,Uruguay,5796,1999-08-17,defensive midfielder,10283.0,Palmeiras,185.0,right,7632724.0
401095,Rodrigo Aguirre,Uruguay,5796,1994-10-01,striker,8561.0,Tigres,182.0,left,1662173.0
438647,Giorgian de Arrascaeta,Uruguay,5796,1994-06-01,attacking midfielder,9770.0,Flamengo,173.0,right,12963842.0
465614,Guillermo Varela,Uruguay,5796,1993-03-24,right back,9770.0,Flamengo,173.0,right,862229.0
474589,José Giménez,Uruguay,5796,1995-01-20,center back,9906.0,Atletico Madrid,185.0,right,11398208.0
553476,Sergio Rochet,Uruguay,5796,1993-03-23,keeper,8702.0,Internacional,189.0,right,1230105.0
56829,Fernando Muslera,Uruguay,5796,1986-06-16,keeper,10094.0,Estudiantes,190.0,right,692539.0
620618,Rodrigo Bentancur,Uruguay,5796,1997-06-25,defensive midfielder,8586.0,Tottenham Hotspur,187.0,right,18974677.0
729093,Mathías Olivera,Uruguay,5796,1997-10-31,center back,9875.0,Napoli,185.0,left,15869654.0
743533,Federico Valverde,Uruguay,5796,1998-07-22,right back,8633.0,Real Madrid,182.0,right,116367199.0
751198,Nicolás de la Cruz,Uruguay,5796,1997-06-01,defensive midfielder,9770.0,Flamengo,167.0,right,9303741.0
840184,Matías Viña,Uruguay,5796,1997-11-09,left back,10076.0,River Plate,180.0,left,2526588.0
840212,Agustín Canobbio,Uruguay,5796,1998-10-01,right winger,9863.0,Fluminense,175.0,right,3939488.0
848027,Santiago Mele,Uruguay,5796,1997-09-06,keeper,7849.0,Monterrey,184.0,right,1323246.0
848034,Santiago Bueno,Uruguay,5796,1998-11-09,center back,8602.0,Wolverhampton Wanderers,189.0,right,12996933.0
861661,Joaquín Piquerez,Uruguay,5796,1998-08-24,left back,10283.0,Palmeiras,184.0,left,13161262.0
921253,Ronald Araujo,Uruguay,5796,1999-03-07,center back,8634.0,Barcelona,192.0,right,28100997.0
941660,Brian Rodríguez,Uruguay,5796,2000-05-20,left winger,6576.0,CF America,174.0,right,7220714.0
950561,Darwin Núñez,Uruguay,5796,1999-06-24,striker,2529.0,Al Hilal,187.0,right,23994477.0
1023943,Jacob Shaffelburg,Canada,5810,1999-11-26,left winger,867280.0,Los Angeles FC,178.0,left,1611954.0
1026105,Dayne St. Clair,Canada,5810,1997-05-09,keeper,960720.0,Inter Miami CF,191.0,left,1710536.0
1026135,Tajon Buchanan,Canada,5810,1999-02-08,right midfielder,10205.0,Villarreal,183.0,right,11527839.0
1055426,Alistair Johnston,Canada,5810,1998-10-08,right back,9925.0,Celtic,180.0,right,7043743.0
1082106,Jayden Nelson,Canada,5810,2002-09-26,left winger,1218886.0,Austin FC,170.0,right,1426915.0
1100258,Joel Waterman,Canada,5810,1996-01-24,center back,6397.0,Chicago Fire FC,188.0,right,1197678.0
1216798,Nathan Saliba,Canada,5810,2004-02-07,defensive midfielder,8635.0,Anderlecht,173.0,right,5434016.0
1252132,Promise David,Canada,5810,2001-07-03,striker,7978.0,Union St.Gilloise,196.0,right,15127899.0
1288119,Ismaël Koné,Canada,5810,2002-06-16,central midfielder,7943.0,Sassuolo,188.0,right,18781599.0
1338740,Tani Oluwaseyi,Canada,5810,2000-05-15,striker,10205.0,Villarreal,188.0,left,7451302.0
1359536,Ali Ahmed,Canada,5810,2000-10-10,left winger,9850.0,Norwich City,180.0,right,2450364.0
1399943,Luc De Fougerolles,Canada,5810,2005-10-12,center back,860801.0,Fulham U21,183.0,right,1369153.0
1415372,Owen Goodman,Canada,5810,2003-11-27,keeper,1183385.0,Crystal Palace U18,193.0,left,666172.0
1440009,Moïse Bombito,Canada,5810,2000-03-30,center back,9831.0,Nice,191.0,right,1385265.0
1494508,Niko Sigur,Canada,5810,2003-09-09,right back,10154.0,Hajduk Split,180.0,right,2504943.0
432605,Jonathan Osorio,Canada,5810,1992-06-12,defensive midfielder,56453.0,Toronto FC,175.0,both,507678.0
464919,Maxime Crépeau,Canada,5810,1994-05-11,keeper,267810.0,Orlando City,185.0,right,1005643.0
544312,Cyle Larin,Canada,5810,1995-04-17,striker,8466.0,Southampton,187.0,right,2034632.0
729506,Richie Laryea,Canada,5810,1995-01-07,left back,56453.0,Toronto FC,175.0,right,484011.0
751202,Alphonso Davies,Canada,5810,2000-11-02,left back,9823.0,Bayern München,183.0,left,40740500.0
789598,Alfie Jones,Canada,5810,1997-10-07,center back,8549.0,Middlesbrough,191.0,right,4238390.0
816223,Stephen Eustaquio,Canada,5810,1996-12-21,central midfielder,9773.0,FC Porto,178.0,right,4566598.0
847629,Derek Cornelius,Canada,5810,1997-11-25,center back,8592.0,Marseille,187.0,left,2300363.0
932308,Liam Millar,Canada,5810,1999-09-27,left winger,8667.0,Hull City,185.0,right,1657933.0
939569,Jonathan David,Canada,5810,2000-01-14,striker,9885.0,Juventus,175.0,both,32860763.0
943428,Mathieu Choinière,Canada,5810,1999-02-07,central midfielder,867280.0,Los Angeles FC,175.0,right,414779.0
1028896,Ali Olwan,Jordan,5816,2000-03-26,striker,101905.0,Al-Sailiya,182.0,right,412812.0
1033300,Mo Abualnadi,Jordan,5816,2001-02-08,center back,1515102.0,Corvinul Hunedoara,185.0,left,110239.0
