player_id,player_name,country,country_id,birth_date_utc,primary_position,club_id,club_name,height_cm,preferred_foot,transfer_value_eur,age,detail_name,positionId,usualPlayingPositionId,shirtNumber,market_value_eur,rating,goals,assists,red_cards,yellow_cards,detail_height_cm,detail_birth_date,detail_transfer_value_eur,season_goals,season_rating,season_assists,player_of_the_match,isCaptain
643448,Kristijan Jakic,Croatia,10155,1997-05-14,defensive midfielder,8406.0,Augsburg,181.0,right,5036733.0,29.0,Kristijan Jakic,,2.0,18,5036733.0,,,,,,,,,,,,,
709796,Petar Musa,Croatia,10155,1998-03-04,striker,6399.0,FC Dallas,190.0,right,6358766.0,28.0,Petar Musa,,3.0,26,6358766.0,,,,,,,,,,,,,
831474,Marin Pongracic,Croatia,10155,1997-09-11,center back,8535.0,Fiorentina,189.0,right,10262311.0,28.0,Marin Pongracic,36.0,1.0,3,10262311.0,,,,,,,,,,,,,
873557,Dominik Kotarski,Croatia,10155,2000-02-10,keeper,8391.0,FC København,186.0,right,6727996.0,26.0,Dominik Kotarski,,0.0,23,6727996.0,,,,,,,,,,,,,
950824,Josip Stanisic,Croatia,10155,2000-04-02,right back,9823.0,Bayern München,186.0,both,35784290.0,26.0,Josip Stanisic,32.0,1.0,2,35784290.0,,,,,,,,,,,,,
959597,Luka Sucic,Croatia,10155,2002-09-08,attacking midfielder,8560.0,Real Sociedad,185.0,left,12302458.0,23.0,Luka Sucic,,2.0,21,12302458.0,,,,,,,,,,,,,
1001335,Nabil Emad Dunga,Egypt,10255,1996-04-06,central midfielder,1523707.0,Al Najma,179.0,right,550618.0,30.0,Nabil Dunga,,2.0,18,550618.0,,,,,,,,,,,,,
1022128,Hamdi Fathy,Egypt,10255,1994-09-29,center back,101901.0,Al-Wakrah,180.0,right,927834.0,31.0,Hamdi Fathi,,2.0,14,927834.0,,,,,,,,,,6.83,,,
1179331,Mohamed Abdelmonem,Egypt,10255,1999-02-01,center back,9831.0,Nice,183.0,right,1880514.0,27.0,Mohamed Abdelmonem,,,,1880514.0,,,,,,,,,,5.75,,,
1228546,Mostafa Ahmed Shobeir,Egypt,10255,2000-03-17,keeper,101745.0,Al Ahly SC,185.0,right,,,Mostafa Ahmed Shobeir,,,,,,,,,,,,,,,,,
1272436,Ibrahim Adel,Egypt,10255,2001-04-23,left winger,10202.0,Nordsjælland,178.0,right,1962650.0,25.0,Ibrahim Adel,,3.0,20,1962650.0,,,,,,,,,,,,,
1291391,Mahmoud Saber,Egypt,10255,2001-07-30,central midfielder,517894.0,Pyramids FC,170.0,right,869864.0,24.0,Mahmoud Saber,,2.0,21,869864.0,,,,,,,,,1.0,7.52,,,
1384425,Hossam Abdelmaguid,Egypt,10255,2001-04-30,center back,80591.0,Zamalek SC,193.0,right,1416047.0,25.0,Hossam Abdelmaguid,,1.0,4,1416047.0,,,,,,,,,,6.28,,,
1418549,Marwan Ateya,Egypt,10255,1998-08-12,defensive midfielder,101745.0,Al Ahly SC,170.0,right,1900212.0,,Marwan Ateya,,,,,,,,,,,,,,,,,
1426403,Mostafa Ziko,Egypt,10255,1997-04-27,left winger,517894.0,Pyramids FC,179.0,right,,,Mostafa Ziko,,,,,,,,,,,,,,,,,
1689101,Tarek Alaa,Egypt,10255,2002-01-05,right back,517894.0,Pyramids FC,178.0,right,403035.0,24.0,Tarek Alaa,,1.0,24,403035.0,,,,,,,,,,,,,
1689371,Mohamed Alaa,Egypt,10255,1999-09-01,keeper,178268.0,El Gouna FC,188.0,right,249585.0,26.0,Mohamed Alaa,,0.0,26,249585.0,,,,,,,,,,,,,
1708842,Hamza Abdelkarim,Egypt,10255,2008-01-01,striker,161774.0,Barca Atletic,182.0,both,,18.0,Hamza Abdelkarim,,3.0,9,,,,,,,,,,,6.01,,,
292462,Mohamed Salah,Egypt,10255,1992-06-15,right winger,,Unknown,175.0,left,35103349.0,,Mohamed Salah,,,,,,,,,,,,,,,,,
505872,Ramy Rabia,Egypt,10255,1993-05-20,center back,102117.0,Al-Ain,183.0,right,488977.0,33.0,Rami Rabia,36.0,1.0,5,488977.0,,,,,,,,,,6.96,,,
513492,Trezeguet,Egypt,10255,1994-10-01,left winger,101745.0,Al Ahly SC,181.0,right,1900324.0,31.0,Trezeguet,,3.0,7,1900324.0,,,,,,,,,1.0,7.03,1.0,,
532766,Zizo,Egypt,10255,1996-01-10,right winger,101745.0,Al Ahly SC,180.0,right,2243623.0,30.0,Zizo,,3.0,25,2243623.0,,,,,,,,,,6.08,,,
533403,Yasser Ibrahim,Egypt,10255,1993-02-10,center back,101745.0,Al Ahly SC,185.0,right,264408.0,33.0,Yasser Ibrahim,34.0,1.0,2,264408.0,,,,,,,,,1.0,6.84,,,
546550,Mohamed El Shenawy,Egypt,10255,1988-12-18,keeper,101745.0,Al Ahly SC,191.0,right,350095.0,37.0,Mohamed El Shenawy,,0.0,1,350095.0,,,,,,,,,,,,,
560416,Karim Hafez,Egypt,10255,1996-03-12,left back,517894.0,Pyramids FC,175.0,left,324191.0,30.0,Karim Hafez,38.0,1.0,15,324191.0,,,,,,,,,,7.8,1.0,,
653688,Al Mahdi Soliman,Egypt,10255,1987-06-08,keeper,80591.0,Zamalek SC,189.0,right,263284.0,39.0,Al Mahdi Soliman,,0.0,16,263284.0,,,,,,,,,,,,,
660213,Mohamed Hany,Egypt,10255,1996-02-02,right back,101745.0,Al Ahly SC,180.0,right,958997.0,,Mohamed Hany,,,,,,,,,,,,,,,,,
839204,Omar Marmoush,Egypt,10255,1999-02-07,striker,8456.0,Manchester City,183.0,right,54951970.0,27.0,Omar Marmoush,,3.0,22,54951970.0,,,,,,,,,,6.88,,,
849334,Ahmed Abou El Fotouh,Egypt,10255,1998-03-22,left back,80591.0,Zamalek SC,175.0,left,672214.0,28.0,Ahmed Abou El Fotouh,1000.0,1.0,13,672214.0,,,,,,,,,,7.3,,,
906944,Mohanad Lasheen,Egypt,10255,1996-05-29,defensive midfielder,517894.0,Pyramids FC,179.0,right,1594194.0,30.0,Mohanad Lasheen,74.0,2.0,17,1594194.0,,,,,,,,,,7.32,,,
971787,Haissem Hassan,Egypt,10255,2002-02-08,right winger,8670.0,Real Oviedo,173.0,left,3400496.0,24.0,Haissem Hassan,72.0,3.0,12,3400496.0,,,,,,,,,,6.45,1.0,,
979376,Emam Ashour,Egypt,10255,1998-02-20,attacking midfielder,101745.0,Al Ahly SC,181.0,right,1935194.0,,Emam Ashour,,,,,,,,,,,,,,,,,
1050160,Sontje Hansen,Curacao,287981,2002-05-18,right winger,8549.0,Middlesbrough,172.0,right,3521355.0,24.0,Sontje Hansen,,3.0,12,4401694.0,,,,,,,,,,,,,
1125997,Shurandy Sambo,Curacao,287981,2001-08-19,right back,8191.0,Burnley,174.0,right,1184484.0,24.0,Shurandy Sambo,,1.0,2,1480605.0,,,,,,,,,,,,,
1180735,Arjany Martha,Curacao,287981,2003-09-04,right winger,8119.0,Rotherham United,180.0,left,616278.0,22.0,Arjany Martha,,3.0,15,673874.0,,,,,,,,,,,,,
1180784,Jearl Margaritha,Curacao,287981,2000-04-10,left winger,8475.0,SK Beveren,181.0,right,645274.0,26.0,Jearl Margaritha,,3.0,16,537729.0,,,,,,,,,,,,,
