player_id,player_name,is_captain,gender,birth_date,team_id,team_name,on_loan,position,position_key,height,height_unit,weight,weight_unit,nationality,rating,goals,assists,market_value,contract_end,injury,injury_expected_return,goal_assist_total,goal_assist_ratio,performance_score
505872,Ramy Rabia,False,male,1993-05-20 00:00:00+00:00,102117,Al-Ain,False,Center Back,centerback,183,cm,77,kg,Egypt,4.647826086956522,3.0,1.0,,,,,4.0,3.0,3.423913043478261
513492,Trezeguet,False,male,1994-10-01 00:00:00+00:00,101745,Al Ahly SC,False,Left Winger,leftwinger,181,cm,77,kg,Egypt,6.345833333333334,19.0,3.0,,,,,22.0,6.333333333333333,9.472916666666666
532766,Zizo,False,male,1996-01-10 00:00:00+00:00,101745,Al Ahly SC,False,Right Winger,rightwinger,180,cm,67,kg,Egypt,5.277083333333334,6.0,13.0,,2030-06-30 00:00:00+00:00,,,19.0,0.46153846153846156,7.038541666666667
533403,Yasser Ibrahim,False,male,1993-02-10 00:00:00+00:00,101745,Al Ahly SC,False,Center Back,centerback,185,cm,77,kg,Egypt,6.484444444444444,4.0,0.0,,2027-06-30 00:00:00+00:00,,,4.0,,4.442222222222222
546550,Mohamed El Shenawy,False,male,1988-12-18 00:00:00+00:00,101745,Al Ahly SC,False,Keeper,keeper_long,191,cm,86,kg,Egypt,3.1098039215686275,0.0,0.0,,2027-06-30 00:00:00+00:00,,,0.0,,1.5549019607843138
560416,Karim Hafez,False,male,1996-03-12 00:00:00+00:00,517894,Pyramids FC,False,Left Back,leftback,175,cm,52,kg,Egypt,5.1925,3.0,4.0,,2027-06-30 00:00:00+00:00,,,7.0,0.75,4.29625
653688,Al Mahdi Soliman,False,male,1987-06-08 00:00:00+00:00,80591,Zamalek SC,False,Keeper,keeper_long,189,cm,78,kg,Egypt,3.15945945945946,0.0,0.0,,2027-06-30 00:00:00+00:00,,,0.0,,1.57972972972973
660213,Mohamed Hany,False,male,1996-02-02 00:00:00+00:00,101745,Al Ahly SC,False,Right Back,rightback,180,cm,87,kg,Egypt,6.362264150943396,0.0,10.0,,2027-06-30 00:00:00+00:00,,,10.0,0.0,5.181132075471698
839204,Omar Marmoush,False,male,1999-02-07 00:00:00+00:00,8456,Manchester City,False,Striker,striker,183,cm,73,kg,Egypt,4.490625,13.0,3.0,,2029-06-30 00:00:00+00:00,,,16.0,4.333333333333333,6.745312499999999
849334,Ahmed Abou El Fotouh,False,male,1998-03-22 00:00:00+00:00,80591,Zamalek SC,False,Left Back,leftback,175,cm,69,kg,Egypt,5.4750000000000005,1.0,5.0,,2027-06-30 00:00:00+00:00,Hamstring injury,,6.0,0.2,4.0375
906944,Mohanad Lasheen,False,male,1996-05-29 00:00:00+00:00,517894,Pyramids FC,False,Defensive Midfielder,centerdefensivemidfielder,179,cm,73,kg,Egypt,6.2875000000000005,0.0,2.0,,2027-06-30 00:00:00+00:00,,,2.0,0.0,3.54375
971787,Haissem Hassan,False,male,2002-02-08 00:00:00+00:00,8670,Real Oviedo,False,Right Winger,rightwinger,173,cm,69,kg,Egypt,5.883673469387755,0.0,4.0,,2027-06-30 00:00:00+00:00,,,4.0,0.0,3.7418367346938775
979376,Emam Ashour,False,male,1998-02-20 00:00:00+00:00,101745,Al Ahly SC,False,Attacking Midfielder,centerattackingmidfielder,181,cm,74,kg,Egypt,6.611111111111111,4.0,8.0,,2028-06-30 00:00:00+00:00,,,12.0,0.5,6.105555555555556
